CUSTOMER_ID,FULL_NAME,EMAIL,TIER,LOYALTY_POINTS,LIFETIME_VALUE,AVATAR_URL,JOIN_DATE
C-1001,Customer 1,cust1@example.com,Platinum,1294,2200.57,https://pravatar.cc1,2023-12-28
C-1002,Customer 2,cust2@example.com,Silver,2602,14077.96,https://pravatar.cc2,2023-09-10
C-1003,Customer 3,cust3@example.com,Silver,3666,6752.79,https://pravatar.cc3,2023-08-24
C-1004,Customer 4,cust4@example.com,Platinum,2377,9980.36,https://pravatar.cc4,2023-07-06
C-1005,Customer 5,cust5@example.com,Standard,3751,9641.04,https://pravatar.cc5,2023-09-25
C-1006,Customer 6,cust6@example.com,Platinum,275,2817.89,https://pravatar.cc6,2023-12-25
C-1007,Customer 7,cust7@example.com,Standard,918,13008.71,https://pravatar.cc7,2023-04-02
C-1008,Customer 8,cust8@example.com,Silver,1377,8843.53,https://pravatar.cc8,2023-09-26
C-1009,Customer 9,cust9@example.com,Standard,2106,3399.79,https://pravatar.cc9,2023-01-28
C-1010,Customer 10,cust10@example.com,Gold,1780,11684.13,https://pravatar.cc10,2023-07-09
C-1011,Customer 11,cust11@example.com,Standard,3246,5968.14,https://pravatar.cc11,2023-09-13
C-1012,Customer 12,cust12@example.com,Standard,902,8702.41,https://pravatar.cc12,2023-06-15
C-1013,Customer 13,cust13@example.com,Gold,4891,956.68,https://pravatar.cc13,2023-12-13
C-1014,Customer 14,cust14@example.com,Silver,3935,12481.06,https://pravatar.cc14,2023-03-31
C-1015,Customer 15,cust15@example.com,Standard,4773,2242.58,https://pravatar.cc15,2023-10-09
C-1016,Customer 16,cust16@example.com,Standard,599,2438.66,https://pravatar.cc16,2023-08-26
C-1017,Customer 17,cust17@example.com,Silver,542,9650.96,https://pravatar.cc17,2023-05-28
C-1018,Customer 18,cust18@example.com,Standard,4982,3066.96,https://pravatar.cc18,2023-10-15
C-1019,Customer 19,cust19@example.com,Platinum,1201,10310.31,https://pravatar.cc19,2023-07-05
C-1020,Customer 20,cust20@example.com,Standard,3068,12700.15,https://pravatar.cc20,2023-10-03
C-1021,Customer 21,cust21@example.com,Gold,4181,10974.07,https://pravatar.cc21,2023-04-02
